,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
700,2002.07.04,2002,Unprovoked,usa,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",04-Jul-2002,Jul,n,F,Bull,9.0
701,2002.06.11.a,2002,Unprovoked,usa,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,10-Jun-2002,Jun,n,M,Unspecified,28.0
702,2002.06.09.b,2002,Unprovoked,usa,  ,09-Jun-2002,Jun,n,M,Unspecified,50.0
703,2002.06.03,2002,Unprovoked,south africa,1.5 to 2.5 m [5' to 8.25'] copper shark,03-Jun-2002,Jun,n,M,Unspecified,50.0
704,2002.05.31.b,2002,Unprovoked,usa,3.7 m to 4.3 m [12' to 14'] white shark,31-May-2002,May,n,M,White,24.0
705,2002.05.31.a,2002,Unprovoked,usa,1 m  shark,31-May-2002,May,n,M,Unspecified,16.0
706,2002.05.22.b,2002,Provoked,usa,3' blacktip shark,22-May-2002,May,n,M,Unspecified,55.0
707,2002.04.30,2002,Unprovoked,australia,"White shark, 6m [20']",30-Apr-2002,Apr,y,M,White,23.0
708,2002.04.20,2002,Unprovoked,usa,1.2 m [4'] shark,20-Apr-2002,Apr,n,M,Unspecified,34.0
709,2002.04.09,2002,Unprovoked,bahamas,"Bull shark, 400-lb ",09-Apr-2002,Apr,n,M,Bull,43.0
710,2002.04.02,2002,Unprovoked,usa,3'  shark,02-Apr-2002,Apr,n,M,Unspecified,41.0
711,2002.04.01,2002,Unprovoked,usa,0.9 m [3'] shark,01-Apr-2002,Apr,n,M,Unspecified,29.0
712,2002.03.25.b,2002,Unprovoked,usa,Tiger shark,25-Mar-2002,Mar,n,M,Tiger,17.0
713,2002.03.25.a,2002,Unprovoked,usa,  ,25-Mar-2002,Mar,n,F,Unspecified,11.0
714,2002.03.19,2002,Unprovoked,usa,4' shark,19-Mar-2002,Mar,n,M,Unspecified,20.0
715,2002.03.15.b,2002,Unprovoked,usa,"Nurse shark, 1m ",15-Mar-2002,Mar,n,M,Unspecified,39.0
716,2002.03.15.a,2002,Unprovoked,usa,"Spinner shark, 3' to 4' ",15-Mar-2002,Mar,n,M,Unspecified,31.0
717,2002.02.16,2002,Unprovoked,australia,"1.5 m [5'] ""whaler shark""",16-Feb-2002,Feb,n,M,Unspecified,30.0
718,2002.02.07,2002,Boating,australia,C. leucas tooth fragment recovered from kayak,07-Feb-2002,Feb,n,M,Unspecified,35.0
719,2002.01.30.b,2002,Unprovoked,australia,"Tiger shark, 3 m [10']",30-Jan-2002,Jan,n,M,Tiger,20.0
720,2002.01.04,2002,Unprovoked,south africa,Zambesi shark?,04-Jan-2002,Jan,n,M,Unspecified,16.0
721,2002.01.01.b,2002,Unprovoked,south africa,Unidentified,01-Jan-2002,Jan,n,M,Unspecified,26.0
722,2002.01.01.a,2002,Unprovoked,usa,"Tiger shark, 1.8 m [6'] ",01-Jan-2002,Jan,n,M,Tiger,35.0
723,2001.10.02,2001,Unprovoked,australia,Bronze whaler shark?,02-Oct-2001,Oct,n,F,Unspecified,20.0
724,2001.09.30.b,2001,Unprovoked,mexico,"Tiger shark, 1.8 m [6']",30-Sep-2001,Sep,n,M,Tiger,26.0
725,2001.09.24,2001,Provoked,usa,4' shark,24-Sep-2001,Sep,n,M,Unspecified,21.0
726,2001.09.16,2001,Invalid,usa,Questionable incident - shark bite may have precipitated drowning,16-Sep-2001,Sep,y,M,Unspecified,42.0
727,2001.09.15.b,2001,Unprovoked,usa,2' to 3.5' shark,15-Sep-2001,Sep,n,M,Unspecified,6.0
728,2001.09.03.b,2001,Unprovoked,usa,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,03-Sep-2001,Sep,y,M,White,28.0
729,2001.09.03.a,2001,Unprovoked,usa,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,03-Sep-2001,Sep,n,F,White,23.0
730,2001.09.02,2001,Unprovoked,usa,1.5 m [5'] shark,02-Sep-2001,Sep,n,M,Unspecified,20.0
731,2001.09.01,2001,Unprovoked,usa,bull shark,01-Sep-2001,Sep,y,M,Bull,10.0
732,2001.08.31,2001,Unprovoked,bahamas,3 m [10'] bull shark,31-Aug-2001,Aug,n,M,Bull,44.0
733,2001.08.22,2001,Unprovoked,usa,a small shark,22-Aug-2001,Aug,n,M,Unspecified,17.0
734,2001.08.18.c,2001,Unprovoked,usa,Possibly  a blacktip or spinner shark,18-Aug-2001,Aug,n,M,Unspecified,20.0
735,2001.08.18.b,2001,Unprovoked,usa,"3' shark, possibly  a blacktip or spinner shark",18-Aug-2001,Aug,n,M,Unspecified,19.0
736,2001.08.18.a,2001,Unprovoked,usa,"Blacktip shark, 5' to 6' ",18-Aug-2001,Aug,n,M,Unspecified,19.0
737,2001.08.16,2001,Unprovoked,bahamas,1.9 m [6.5'] bull shark,16-Aug-2001,Aug,n,M,Bull,43.0
738,2001.07.15.a,2001,Unprovoked,usa,0.9 m  [3'] shark,15-Jul-2001,Jul,n,M,Unspecified,18.0
739,2001.07.06.a,2001,Unprovoked,usa,"Bull shark, 2.3 m [7.5'] ",06-Jul-2001,Jul,n,M,Bull,8.0
740,2001.06.10,2001,Provoked,usa,"White shark, 2.4 m to 3 m [8' to 10'] ",10-Jun-2001,Jun,n,M,White,52.0
741,2001.06.03,2001,Unprovoked,usa,2' shark,03-Jun-2001,Jun,n,F,Unspecified,29.0
742,2001.05.03,2001,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,03-May-2001,May,n,M,Unspecified,45.0
743,2001.04.13.a,2001,Unprovoked,usa,Possibly a juvenile blacktip or spinner shark,13-Apr-2001,Apr,n,M,Unspecified,12.0
744,2001.04.12.c,2001,Unprovoked,usa,Possibly a juvenile blacktip or spinner shark,12-Apr-2001,Apr,n,M,Unspecified,21.0
745,2001.04.12.b,2001,Unprovoked,usa,Possibly a juvenile blacktip or spinner shark,12-Apr-2001,Apr,n,M,Unspecified,12.0
746,2001.04.12.a,2001,Unprovoked,usa,Possibly a 1.5 m [5'] blacktip or spinner shark,12-Apr-2001,Apr,n,M,Unspecified,22.0
747,2001.04.11.d,2001,Unprovoked,usa,Possibly a juvenile blacktip or spinner shark,11-Apr-2001,Apr,n,M,Unspecified,19.0
748,2001.04.08.b,2001,Unprovoked,south africa,"White shark, 2.7 m [9'] ",08-Apr-2001,Apr,n,M,White,46.0
749,2001.04.05,2001,Unprovoked,usa,"""small shark""",05-Apr-2001,Apr,n,M,Unspecified,26.0
750,2001.04.02.a,2001,Unprovoked,australia,Bronze whaler shark,02-Apr-2001,Apr,n,M,Unspecified,40.0
751,2001.02.04,2001,Unprovoked,australia,"Bronze whaler shark, 2.5 m [8.25']  k",04-Feb-2001,Feb,n,M,Unspecified,40.0
752,2000.12.12,2000,Unprovoked,fiji,6 m [20'] shark,12-Dec-2000,Dec,y,M,Unspecified,47.0
753,2000.12.03,2000,Unprovoked,australia,"Bronze whaler shark, 2.5 m [8.25'] ",03-Dec-2000,Dec,n,M,Unspecified,38.0
754,2000.11.18,2000,Unprovoked,usa,1.2 m to 1.8 m [4' to 6'] shark,17-Nov-2000,Nov,n,M,Unspecified,25.0
755,2000.11.06.b,2000,Unprovoked,australia,"White shark, 4.9 m [16'] ",06-Nov-2000,Nov,n,M,White,52.0
756,2000.11.06.a,2000,Unprovoked,australia,"White shark, 5 m [16.5'] ",06-Nov-2000,Nov,y,M,White,49.0
757,2000.11.04,2000,Unprovoked,usa,"White shark, 2.4 m to 3 m [8' to 10'] ",04-Nov-2000,Nov,n,M,White,27.0
758,2000.10.18,2000,Unprovoked,usa,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",18-Oct-2000,Oct,n,F,Tiger,56.0
759,2000.10.09,2000,Unprovoked,usa,2.1 to 2.4 m [7' to 8'] shark,09-Oct-2000,Oct,n,M,Unspecified,17.0
760,2000.10.06.b,2000,Unprovoked,usa,"Blacktip shark, 2' ",06-Oct-2000,Oct,n,M,Unspecified,23.0
761,2000.09.25,2000,Unprovoked,australia,White shark,25-Sep-2000,Sep,y,M,White,17.0
762,2000.09.24,2000,Unprovoked,australia,"White shark, 4 m to 5 m [13' to 16.5'] ",24-Sep-2000,Sep,y,M,White,25.0
763,2000.09.16.b,2000,Unprovoked,okinawa,"White shark, 2.5 m ",16-Sep-2000,Sep,y,M,White,31.0
764,2000.09.11,2000,Unprovoked,usa,60 cm to 90 cm [2' to 3'] shark,11-Sep-2000,Sep,n,M,Unspecified,25.0
765,2000.09.10.a,2000,Unprovoked,south africa,"White shark, 3.5 m [11.5']  male ",10-Sep-2000,Sep,n,M,White,48.0
766,2000.09.08.b,2000,Unprovoked,usa,1.5 m [5'] shark,08-Sep-2000,Sep,n,M,Unspecified,40.0
767,2000.09.08.a,2000,Unprovoked,reunion,"Tiger shark, 3 m [10'] ",08-Sep-2000,Sep,n,M,Tiger,27.0
768,2000.08.31,2000,Unprovoked,usa,A 2' shark was seen in the area by witnesses,31-Aug-2000,Aug,n,M,Unspecified,47.0
769,2000.08.30,2000,Unprovoked,usa,"Thought to involve a 2.7 m [9'], 400-lb bull shark",30-Aug-2000,Aug,y,M,Bull,25.0
770,2000.08.15,2000,Unprovoked,usa,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",15-Aug-2000,Aug,n,M,Tiger,53.0
771,2000.08.13,2000,Unprovoked,usa,juvenile shark,13-Aug-2000,Aug,n,M,Unspecified,27.0
772,2000.08.12,2000,Unprovoked,usa,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",12-Aug-2000,Aug,n,F,Unspecified,44.0
773,2000.07.06,2000,Unprovoked,usa,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",06-Jul-2000,Jul,n,F,Tiger,12.0
774,2000.07.04.a,2000,Unprovoked,usa,"Nurse shark, 1.2 m [4'] ",04-Jul-2000,Jul,n,F,Unspecified,55.0
775,2000.07.02.b,2000,Unprovoked,usa,0.9 m [3'] shark,02-Jul-2000,Jul,n,F,Unspecified,13.0
776,2000.07.02.a,2000,Unprovoked,usa,"0.9 m [3'] shark,  probably a blacktip or spinner shark",02-Jul-2000,Jul,n,F,Unspecified,19.0
777,2000.06.10,2000,Unprovoked,usa,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",10-Jun-2000,Jun,n,M,Unspecified,17.0
778,2000.06.09.b,2000,Unprovoked,usa,Bull shark?,09-Jun-2000,Jun,n,M,Bull,55.0
779,2000.06.09.a,2000,Unprovoked,usa,Bull shark,09-Jun-2000,Jun,n,M,Bull,44.0
780,2000.03.30,2000,Unprovoked,australia,2.5 m shark,30-Mar-2000,Mar,n,M,Unspecified,26.0
781,2000.03.26,2000,Unprovoked,usa,1.8 m [6'] shark,26-Mar-2000,Mar,n,F,Unspecified,14.0
782,2000.03.24,2000,Unprovoked,usa,1.2 m [4'] shark,24-Mar-2000,Mar,n,M,Unspecified,37.0
783,2000.03.15,2000,Unprovoked,new caledonia,Tiger shark?,15-Mar-2000,Mar,y,M,Tiger,35.0
784,2000.03.00,2000,Unprovoked,usa,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",Mar-2000,Mar,n,M,Unspecified,39.0
785,1999.12.06,1999,Invalid,brazil,Shark involvement not confirmed,06-Dec-1999,Dec,n,M,Unspecified,39.0
786,1999.11.23,1999,Unprovoked,usa,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",23-Nov-1999,Nov,n,F,Tiger,51.0
787,1999.11.06,1999,Unprovoked,brazil,1.3 to 1.6 m shark,06-Nov-1999,Nov,n,M,Unspecified,39.0
788,1999.10.01,1999,Unprovoked,usa,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",01-Oct-1999,Oct,n,M,Tiger,16.0
789,1999.09.18,1999,Unprovoked,usa,White shark,19-Sep-1999,Sep,n,M,White,37.0
790,1999.08.26,1999,Unprovoked,usa,"""a small shark""",26-Aug-1999,Aug,n,M,Unspecified,28.0
791,1999.08.23,1999,Unprovoked,marshall islands,7' shark,23-Aug-1999,Aug,n,M,Unspecified,23.0
792,1999.08.16,1999,Unprovoked,usa,1.8 m [6'] shark,16-Aug-1999,Aug,n,M,Unspecified,10.0
793,1999.08.05.a,1999,Unprovoked,usa,4' to 5' shark,05-Aug-1999,Aug,n,M,Unspecified,62.0
794,1999.08.05,1999,Unprovoked,bahamas,2.7 m [9']  bull shark or Caribbean reef shark,05-Aug-1999,Aug,n,M,Bull,35.0
795,1999.07.29,1999,Unprovoked,south africa,"White shark, 3 m to 5 m [10' to 16.5'] ",29-Jul-1999,Jul,n,M,White,42.0
796,1999.07.26,1999,Unprovoked,usa,"Bull shark, 2.1 m [7']",26-Jul-1999,Jul,n,M,Bull,43.0
797,1999.07.21,1999,Unprovoked,usa,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",21-Jul-1999,Jul,n,M,Tiger,43.0
798,1999.07.15,1999,Unprovoked,south africa,White shark,15-Jul-1999,Jul,y,M,White,14.0
799,1999.07.04,1999,Unprovoked,usa,"Blacktip shark, 1.8 m [6'] ",04-Jul-1999,Jul,n,F,Unspecified,30.0
800,1999.07.03,1999,Unprovoked,south africa,"White shark, 4 m [13'] ",03-Jul-1999,Jul,n,M,White,29.0
801,1999.06.17,1999,Unprovoked,usa,3' to 4' shark,17-Jun-1999,Jun,n,M,Unspecified,21.0
802,1999.06.09,1999,Unprovoked,usa,Blacktip or spinner shark,09-Jun-1999,Jun,n,M,Unspecified,5.0
803,1999.05.29,1999,Unprovoked,australia,Thought to involve a white shark,29-May-1999,May,y,M,White,22.0
804,1999.05.01,1999,Unprovoked,brazil,"Tiger shark, 2.5 m [8.25']",01-May-1999,May,n,M,Tiger,21.0
805,1999.04.22,1999,Unprovoked,mauritius,"Grey reef shark, 1.5 m ",22-Apr-1999,Apr,n,F,Grey,41.0
806,1999.04.11,1999,Unprovoked,reunion,3 bull sharks,11-Apr-1999,Apr,y,M,Bull,52.0
807,1999.03.05,1999,Unprovoked,usa,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,05-Mar-1999,Mar,n,F,Unspecified,29.0
808,1999.02.23,1999,Unprovoked,australia,Bronze whaler or tiger shark,23-Feb-1999,Feb,n,M,Tiger,35.0
809,1999.02.03,1999,Unprovoked,usa,Spinner shark,03-Feb-1999,Feb,n,M,Unspecified,25.0
810,1999.00.00.b,1999,Unprovoked,south africa,"White shark, 4.6 m [15'] ",1999,,n,M,White,30.0
811,1998.12.20.R,1998,Unprovoked,south africa,Possibly a white shark,Reported 20-Dec-1998,ReportedDec,n,M,White,18.0
812,1998.11.21,1998,Unprovoked,usa,Tiger shark,21-Nov-1998,Nov,y,M,Tiger,9.0
813,1998.11.14,1998,Unprovoked,usa,1.2 m [4'] shark,14-Nov-1998,Nov,n,M,Unspecified,14.0
814,1998.11.11,1998,Unprovoked,usa,"A ""small shark""",11-Nov-1998,Nov,n,M,Unspecified,13.0
815,1998.11.02.a,1998,Unprovoked,brazil,Though to involve a white shark,02-Nov-1998,Nov,y,M,White,22.0
816,1998.08.30,1998,Unprovoked,usa,3' to 4' shark,30-Aug-1998,Aug,n,M,Unspecified,26.0
817,1998.08.26,1998,Unprovoked,usa,"White shark, 5 m to 6 m [16.5' to 20'] ",26-Aug-1998,Aug,n,M,White,16.0
818,1998.08.15,1998,Unprovoked,bahamas,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",15-Aug-1998,Aug,n,M,Unspecified,28.0
819,1998.08.01.a,1998,Unprovoked,south africa,"White shark, 4.9 m [16']",01-Aug-1998,Aug,n,M,White,24.0
820,1998.07.11,1998,Unprovoked,south africa,5' to 6' shark,11-Jul-1998,Jul,n,M,Unspecified,16.0
821,1998.06.28.a,1998,Unprovoked,australia,Thought to involve a 5.5 m white shark named Kong,28-Jun-1998,Jun,y,M,White,26.0
822,1998.06.22,1998,Unprovoked,south africa,White shark,22-Jun-1998,Jun,y,M,White,20.0
823,1998.05.29.b,1998,Unprovoked,south africa,3 m to 4 m [10' to 13'] white shark,29-May-1998,May,n,M,White,15.0
824,1998.05.29.a,1998,Unprovoked,south africa,Unidentified,29-May-1998,May,n,M,Unspecified,16.0
825,1998.05.25,1998,Unprovoked,usa,"Lemon shark, 1.5 m [5'], identified  by the surfer",25-May-1998,May,n,M,Lemon,40.0
826,1998.05.16.c,1998,Unprovoked,usa,"1.8 m [6'] shark, possibly a blacktip",16-May-1998,May,n,F,Unspecified,14.0
827,1998.05.16.a,1998,Unprovoked,south africa,4 m [13'] white shark,16-May-1998,May,n,M,White,22.0
828,1998.04.26,1998,Unprovoked,mozambique,3 m [10'] shark,26-Apr-1998,Apr,y,F,Unspecified,35.0
829,1998.04.21,1998,Unprovoked,usa,5 m [16.5'] white shark,21-Apr-1998,Apr,n,M,White,50.0
830,1998.03.15,1998,Unprovoked,south africa,3 m [10'] white shark,15-Mar-1998,Mar,n,M,White,33.0
831,1998.03.08.a,1998,Unprovoked,usa,5' spinner shark,08-Mar-1998,Mar,n,M,Unspecified,32.0
832,1998.01.28.R ,1998,Invalid,australia,Shark involvement not confirmed,Reported 28-Jan-1998,ReportedJan,Unknown,M,Unspecified,31.0
833,1998.01.14,1998,Unprovoked,mozambique,Small dusky shark or blackfin shark,14-Jan-1998,Jan,n,M,Unspecified,23.0
834,1997.12.28.b,1997,Unprovoked,south africa,White shark,28-Dec-1997,Dec,y,M,White,39.0
835,1997.11.09,1997,Unprovoked,australia,White shark,09-Nov-1997,Nov,n,M,White,42.0
836,1997.10.28.a,1997,Unprovoked,usa,"Tiger shark, 4 m to 4.3 m [13' to 14'] ",28-Oct-1997,Oct,n,M,Tiger,19.0
837,1997.10.24,1997,Unprovoked,usa,Possibly a blacktip shark,24-Oct-1997,Oct,n,M,Unspecified,23.0
838,1997.10.21,1997,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,21-Oct-1997,Oct,n,M,Unspecified,12.0
839,1997.08.24,1997,Unprovoked,usa,5 m [16.5'] white shark,24-Aug-1997,Aug,n,M,White,29.0
840,1997.08.02.b,1997,Unprovoked,usa,juvenile shark,02-Aug-1997,Aug,n,M,Unspecified,17.0
841,1997.08.02.a,1997,Unprovoked,usa,"""juvenile shark""",02-Aug-1997,Aug,n,M,Unspecified,19.0
842,1997.07.21,1997,Unprovoked,south africa,4.5 m white shark,21-Jul-1997,Jul,y,M,White,25.0
843,1997.07.14,1997,Unprovoked,usa,Blacktip shark,14-Jul-1997,Jul,n,M,Unspecified,50.0
844,1997.06.15,1997,Unprovoked,fiji,"Tiger shark, 2.7m  [9']",15-Jun-1997,Jun,n,F,Tiger,47.0
845,1997.06.09,1997,Unprovoked,usa,Possibly a spinner shark,09-Jun-1997,Jun,n,M,Unspecified,18.0
846,1997.06.02,1997,Unprovoked,usa,1.2 m [4'] shark (spinner shark?),02-Jun-1997,Jun,n,M,Unspecified,33.0
847,1997.05.31.c,1997,Unprovoked,usa,4' shark,31-May-1997,May,n,M,Unspecified,35.0
848,1997.05.31.b,1997,Unprovoked,usa,Possibly a sand shark,31-May-1997,May,n,M,Unspecified,34.0
849,1997.05.31.a,1997,Unprovoked,usa,Possibly a sand shark,31-May-1997,May,n,M,Unspecified,12.0
850,1997.02.28.a,1997,Unprovoked,australia,"Tiger shark, 2m to 3m ",28-Feb-1997,Feb,n,M,Tiger,30.0
851,1997.01.25,1997,Unprovoked,australia,1.8 m to 2.1 m [6' to 7'] shark,25-Jan-1997,Jan,n,M,Unspecified,27.0
852,1997.01.20,1997,Unprovoked,australia,"Tiger shark, 4.5 m [14'9""]",20-Jan-1997,Jan,y,M,Tiger,41.0
853,1996.11.29.a,1996,Unprovoked,usa,3 m to 5 m [10' to 16.5'] white shark,29-Nov-1996,Nov,n,M,White,45.0
854,1996.10.05.,1996,Unprovoked,usa,5.5 m to 6 m [18' to 20'] white shark,05-Oct-1996,Oct,n,M,White,22.0
855,1996.10.03.b,1996,Unprovoked,usa,1.2 m [4'] shark,03-Oct-1996,Oct,n,M,Unspecified,21.0
856,1996.10.03.a,1996,Unprovoked,usa,5 m [16.5'] white shark,03-Oct-1996,Oct,n,M,White,31.0
857,1996.09.06.b,1996,Unprovoked,new zealand,White shark,06-Sep-1996,Sep,n,M,White,23.0
858,1996.09.06.a,1996,Unprovoked,usa,"""a young shark""",06-Sep-1996,Sep,n,M,Unspecified,19.0
859,1996.09.01.b,1996,Invalid,usa,Shark involvement not confirmed,01-Sep-1996,Sep,Unknown,F,Unspecified,28.0
860,1996.09.01.a,1996,Provoked,south africa,White shark,01-Sep-1996,Sep,n,M,White,29.0
861,1996.08.29,1996,Unprovoked,usa,"Tiger shark, 2.4 m [8'] ",29-Aug-1996,Aug,n,M,Tiger,19.0
862,1996.08.13,1996,Unprovoked,usa,6 m [20'] white shark,13-Aug-1996,Aug,n,M,White,36.0
863,1996.08.11,1996,Unprovoked,usa,1.8 m to 2.1 m [6' to 7'] hammerhead shark,11-Aug-1996,Aug,n,M,Unspecified,21.0
864,1996.07.04.b,1996,Unprovoked,usa,5' to 6' shark,04-Jul-1996,Jul,n,F,Unspecified,63.0
865,1996.05.28,1996,Unprovoked,south africa,2.5 m [8.25'] white shark ,28-May-1996,May,n,M,White,17.0
866,1996.05.18,1996,Unprovoked,usa,1.2 m [4'] shark,18-May-1996,May,n,M,Unspecified,22.0
867,1996.05.07,1996,Unprovoked,usa,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,07-May-1996,May,n,M,Unspecified,27.0
868,1996.03.05,1996,Unprovoked,australia,Tiger shark,05-Mar-1996,Mar,n,F,Tiger,47.0
869,1996.02.26,1996,Unprovoked,australia,Bronze whaler shark,26-Feb-1996,Feb,n,M,Unspecified,24.0
870,1996.02.04,1996,Unprovoked,australia,"""reef shark""",04-Feb-1996,Feb,n,M,Unspecified,7.0
871,1996.01.16,1996,Unprovoked,usa,Possibly a tiger shark,16-Jan-1996,Jan,n,M,Tiger,53.0
872,1996.01.10,1996,Unprovoked,reunion,"Tiger shark, 300-kg [662-lb] ",10-Jan-1996,Jan,y,M,Tiger,25.0
873,1995.10.11,1995,Unprovoked,australia,4 m shark,11-Oct-1995,Oct,n,F,Unspecified,15.0
874,1995.10.01,1995,Unprovoked,usa,1.2 m to 1.5 m [4' to 5']   shark,01-Oct-1995,Oct,n,M,Unspecified,39.0
875,1995.09.30.b,1995,Unprovoked,usa,1.5 to 1.8 m [5' to 6'] shark,30-Sep-1995,Sep,n,M,Unspecified,14.0
876,1995.09.28,1995,Unprovoked,usa,4 m [13'] white shark,28-Sep-1995,Sep,n,M,White,25.0
877,1995.09.11,1995,Unprovoked,australia,White shark,11-Sep-1995,Sep,y,M,White,29.0
878,1995.09.03.b,1995,Unprovoked,usa,3 m to 4 m [10' to 13'] white shark,03-Sep-1995,Sep,n,M,White,32.0
879,1995.08.26/b,1995,Unprovoked,usa,5' shark,26-Aug-1995,Aug,n,M,Unspecified,16.0
880,1995.08.26.a,1995,Unprovoked,usa,"""a small shark""",26-Aug-1995,Aug,n,M,Unspecified,18.0
881,1995.08.25,1995,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,25-Aug-1995,Aug,n,M,Unspecified,16.0
882,1995.08.22.c,1995,Unprovoked,usa,"""sand"" shark",22-Aug-1995,Aug,n,M,Unspecified,23.0
883,1995.08.22.a,1995,Unprovoked,usa,"""small shark""",22-Aug-1995,Aug,n,M,Unspecified,19.0
884,1995.08.19,1995,Unprovoked,tonga,"""small shark""",19-Aug-1995,Aug,n,M,Unspecified,18.0
885,1995.08.15,1995,Unprovoked,usa,1.8 m [6'] shark,15-Aug-1995,Aug,n,M,Unspecified,20.0
886,1995.08.07,1995,Unprovoked,usa,1.2 m to 1.5 m [4' to 5'] shark,07-Aug-1995,Aug,n,M,Unspecified,12.0
887,1995.06.30,1995,Unprovoked,usa,6 m [20'] white shark,30-Jun-1995,Jun,n,M,White,31.0
888,1995.06.17.a,1995,Unprovoked,usa,1.8 m [6'] shark,17-Jun-1995,Jun,n,M,Unspecified,45.0
889,1995.06.16,1995,Unprovoked,usa,6' shark,16-Jun-1995,Jun,n,F,Unspecified,10.0
890,1995.06.14,1995,Unprovoked,usa,"Tiger shark, 3.7 m [12'] ",14-Jun-1995,Jun,n,M,Tiger,38.0
891,1995.06.02,1995,Unprovoked,hong kong,1.8 m to 2.1 m [6' to 7'] shark,02-Jun-1995,Jun,y,M,Unspecified,29.0
892,1995.04.09.a,1995,Unprovoked,japan,6 m [20'] white shark,09-Apr-1995,Apr,y,M,White,47.0
893,1995.03.11,1995,Unprovoked,australia,"Bronze whaler shark, 2 m ",11-Mar-1995,Mar,n,M,Unspecified,35.0
894,1995.02.19,1995,Unprovoked,south africa,Raggedtooth shark,19-Feb-1995,Feb,n,M,Unspecified,22.0
895,1995.01.24,1995,Unprovoked,south africa,"Tiger shark, 1.8 m [6'] ",24-Jan-1995,Jan,y,M,Tiger,14.0
896,1994.12.30,1994,Unprovoked,south africa,5.5 m [18'] white shark,30-Dec-1994,Dec,n,M,White,26.0
897,1994.12.09.a,1994,Unprovoked,usa,5 m to 5.5 m [16.5' to 18'] white shark,09-Dec-1994,Dec,y,M,White,42.0
898,1994.11.13,1994,Unprovoked,usa,2.7 m [9'] shark,13-Nov-1994,Nov,n,F,Unspecified,34.0
899,1994.10.08,1994,Provoked,usa,Thought to involve a small sand shark,09-Oct-1994,Oct,n,F,Unspecified,9.0
900,1994.09.21,1994,Unprovoked,usa,5 m [16.5'] white shark,21-Sep-1994,Sep,n,M,White,43.0
901,1994.09.05,1994,Unprovoked,usa,Small shark,05-Sep-1994,Sep,n,F,Unspecified,12.0
902,1994.07.09.c,1994,Unprovoked,reunion,3 to 3.5 m [10' to 11.5'] bull shark,09-Jul-1994,Jul,y,M,Bull,24.0
903,1994.07.09.b,1994,Unprovoked,south africa,4 m [13'] white shark,09-Jul-1994,Jul,y,M,White,22.0
904,1994.07.09.a,1994,Unprovoked,south africa,4 m [13'] white shark,09-Jul-1994,Jul,n,M,White,31.0
905,1994.07.08.a,1994,Unprovoked,usa,"""small shark""",08-Jul-1994,Jul,n,M,Unspecified,15.0
906,1994.06.24,1994,Unprovoked,bahamas,1.8 m [6'] shark,24-Jun-1994,Jun,n,M,Unspecified,30.0
907,1994.05.31.a,1994,Unprovoked,usa,1.2 m [4'] spinner shark,31-May-1994,May,n,M,Unspecified,28.0
908,1994.05.15,1994,Unprovoked,usa,>1.8 m [6'] shark,15-May-1994,May,n,M,Unspecified,22.0
909,1994.02.19,1994,Unprovoked,usa,1.2 m [4'] shark,19-Feb-1994,Feb,n,M,Unspecified,23.0
910,1994.02.12,1994,Unprovoked,south africa,3 m [10'] white shark,12-Feb-1994,Feb,n,M,White,15.0
911,1994.01.03,1994,Unprovoked,south africa,"1.3 m [4'3""] shark",03-Jan-1994,Jan,n,M,Unspecified,33.0
912,1993.11.21,1993,Unprovoked,australia,Tiger shark caught 6 days later with divers remains in its gut,21-Nov-1993,Nov,y,M,Tiger,27.0
913,1993.10.30,1993,Unprovoked,usa,4 m to 5 m [13' to 16.5'] white shark,30-Oct-1993,Oct,n,M,White,26.0
914,1993.10.26,1993,Unprovoked,usa,3 m [10'] bull shark,26-Oct-1993,Oct,n,F,Bull,26.0
915,1993.10.10,1993,Boating,usa,>6 m [20'] white shark,10-Oct-1993,Oct,n,F,White,34.0
916,1993.09.26,1993,Unprovoked,south africa,3 m [10'] white shark,26-Sep-1993,Sep,n,M,White,36.0
917,1993.09.03,1993,Unprovoked,spain,1.2 m [4'] shark,03-Sep-1993,Sep,n,M,Unspecified,25.0
918,1993.08.21,1993,Unprovoked,bahamas,1.8 m [6'] blacktip shark or Caribbean reef shark,21-Aug-1993,Aug,n,M,Unspecified,51.0
