,case_number,year,type,country,species_,date,mes,fatal,sexo,especie_cat,age
206,2013.09.12,2013,Unprovoked,usa,3' shark, 12-Sep-2013,Sep,n,F,Unspecified,13.0
207,2013.09.07.b,2013,Provoked,usa,3' shark, 07-Sep-2013,Sep,n,M,Unspecified,43.0
208,2013.09.07.a,2013,Unprovoked,usa,3' shark, 07-Sep-2013,Sep,n,M,Unspecified,25.0
209,2013.09.01.a,2013,Unprovoked,usa,4' shark, 01-Sep-2013,Sep,n,M,Unspecified,9.0
210,2013.08.14,2013,Unprovoked,usa,Tiger shark?, 14-Aug-2013,Aug,y,F,Tiger,20.0
211,2013.08.11,2013,Unprovoked,usa,"Bull shark, 8'",11-Aug-2013,Aug,n,M,Bull,10.0
212,2013.08.05,2013,Unprovoked,usa,"Bull shark, 6' to 8'", 05-Aug-2013,Aug,n,M,Bull,17.0
213,2013.07.29.c,2013,Unprovoked,bahamas,6' shark,28-Jul-2013,Jul,n,M,Unspecified,40.0
214,2013.07.29.a,2013,Unprovoked,usa,"Tiger shark, 8' to 10' ",  29-Jul-2013,Jul,n,M,Tiger,18.0
215,2013.07.28.b,2013,Unprovoked,bahamas,Nurse shark,28-Jul-2013,Jul,n,M,Unspecified,64.0
216,2013.06.25.a,2013,Unprovoked,usa,4' to 5' shark,25-Jun-2013,Jun,n,M,Unspecified,14.0
217,2013.06.18,2013,Unprovoked,usa,"Tiger shark, 14'",18-Jun-2013,Jun,n,M,Tiger,28.0
218,2013.06.14.R,2013,Unprovoked,usa,4' to 5' shark,Reported 14-Jun-2013,ReportedJun,n,F,Unspecified,10.0
219,2013.05.14,2013,Unprovoked,ecuador,Galapagos shark,14-May-2014,May,n,M,Unspecified,29.0
220,2013.05.08.a,2013,Unprovoked,reunion,Bull shark,08-May-2013,May,y,M,Bull,36.0
221,2013.05.04.a,2013,Unprovoked,usa,a small shark,04-May-2013,May,n,M,Unspecified,16.0
222,2013.04.24,2013,Unprovoked,mexico,Tiger shark,24-Apr-2013,Apr,n,F,Tiger,34.0
223,2013.04.21,2013,Unprovoked,australia,"Grey nurse shark, 3m",21-Apr-2013,Apr,n,M,Grey,51.0
224,2013.04.17,2013,Unprovoked,usa,3' shark,17-Apr-2013,Apr,n,M,Unspecified,9.0
225,2013.04.13.b,2013,Unprovoked,usa,Bull shark,13-Apr-2013,Apr,n,M,Bull,21.0
226,2013.04.10,2013,Unprovoked,french polynesia,Possibly a blacktip reef shark,10-Apr-2013,Apr,n,M,Unspecified,53.0
227,2013.04.02.a,2013,Unprovoked,usa,4' shark,02-Apr-2013,Apr,n,M,Unspecified,58.0
228,2013.03.16.b,2013,Provoked,south africa,"Raggedtooth shark, 1.5 m",16-Mar-2013,Mar,n,M,Unspecified,30.0
229,2013.03.12,2013,Unprovoked,jamaica,"Tiger shark, 4.8 m",12-Mar-2013,Mar,y,M,Tiger,25.0
230,2013.03.10.b,2013,Unprovoked,australia,"Bronze whaler shark, 2.5m",10-Mar-2013,Mar,n,M,Unspecified,28.0
231,2013.02.27,2013,Unprovoked,new zealand,"White shark, 4m",27-Feb-2013,Feb,y,M,White,46.0
232,2013.02.10,2013,Unprovoked,usa,"Blacktip shark, 4' to 5'",10-Feb-2013,Feb,n,M,Unspecified,16.0
233,2013.02.09,2013,Unprovoked,french polynesia,Lemon shark,09-Feb-2013,Feb,n,M,Lemon,48.0
234,2013.01.16,2013,Unprovoked,usa,"Tiger shark, 15'",16-Jan-2013,Jan,n,M,Tiger,43.0
235,2012.12.30,2012,Unprovoked,australia,2.5 m shark,30-Dec-2012,Dec,n,M,Unspecified,23.0
