,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
209,2013.09.01.a,2013,usa,9,4' shark,Sep,n,M,Unspecified,9.0
210,2013.08.14,2013,usa,20,Tiger shark?,Aug,y,F,Tiger,20.0
211,2013.08.11,2013,usa,10,"Bull shark, 8'",Aug,n,M,Bull,10.0
212,2013.08.05,2013,usa,17,"Bull shark, 6' to 8'",Aug,n,M,Bull,17.0
213,2013.07.29.c,2013,bahamas,40,6' shark,Jul,n,M,Unspecified,40.0
214,2013.07.29.a,2013,usa,18,"Tiger shark, 8' to 10' ",Jul,n,M,Tiger,18.0
215,2013.07.28.b,2013,bahamas,64,Nurse shark,Jul,n,M,Unspecified,64.0
216,2013.06.25.a,2013,usa,14,4' to 5' shark,Jun,n,M,Unspecified,14.0
217,2013.06.18,2013,usa,28,"Tiger shark, 14'",Jun,n,M,Tiger,28.0
218,2013.06.14.R,2013,usa,10,4' to 5' shark,ReportedJun,n,F,Unspecified,10.0
219,2013.05.14,2013,ecuador,29,Galapagos shark,May,n,M,Unspecified,29.0
220,2013.05.08.a,2013,reunion,36,Bull shark,May,y,M,Bull,36.0
221,2013.05.04.a,2013,usa,16,a small shark,May,n,M,Unspecified,16.0
222,2013.04.24,2013,mexico,34,Tiger shark,Apr,n,F,Tiger,34.0
223,2013.04.21,2013,australia,51,"Grey nurse shark, 3m",Apr,n,M,Grey,51.0
224,2013.04.17,2013,usa,9,3' shark,Apr,n,M,Unspecified,9.0
225,2013.04.13.b,2013,usa,21,Bull shark,Apr,n,M,Bull,21.0
226,2013.04.10,2013,french polynesia,53,Possibly a blacktip reef shark,Apr,n,M,Unspecified,53.0
227,2013.04.02.a,2013,usa,58,4' shark,Apr,n,M,Unspecified,58.0
228,2013.03.16.b,2013,south africa,30,"Raggedtooth shark, 1.5 m",Mar,n,M,Unspecified,30.0
229,2013.03.12,2013,jamaica,68,"Tiger shark, 4.8 m",Mar,y,M,Tiger,68.0
230,2013.03.10.b,2013,australia,28,"Bronze whaler shark, 2.5m",Mar,n,M,Unspecified,28.0
231,2013.02.27,2013,new zealand,46,"White shark, 4m",Feb,y,M,White,46.0
232,2013.02.10,2013,usa,16,"Blacktip shark, 4' to 5'",Feb,n,M,Unspecified,16.0
233,2013.02.09,2013,french polynesia,48,Lemon shark,Feb,n,M,Lemon,48.0
234,2013.01.16,2013,usa,43,"Tiger shark, 15'",Jan,n,M,Tiger,43.0
235,2012.12.30,2012,australia,23,2.5 m shark,Dec,n,M,Unspecified,23.0
236,2012.12.28,2012,australia,29,"Bull shark, 2m ",Dec,n,M,Bull,29.0
237,2012.12.19,2012,australia,32,"Tiger shark, 6'",Dec,n,M,Tiger,32.0
238,2012.12.05,2012,usa,60,10' shark,Dec,n,M,Unspecified,60.0
239,2012.12.02,2012,australia,31,Sandtiger shark,Dec,n,M,Tiger,31.0
240,2012.11.30,2012,usa,61,"Tiger shark, 10'",Nov,n,M,Tiger,61.0
241,2012.11.22,2012,mexico,32,2.5 m shark,Nov,y,M,Unspecified,32.0
242,2012.11.19,2012,usa,14,2' to 3' shark,Nov,n,M,Unspecified,14.0
243,2012.11.04.b,2012,usa,30,"Tiger shark, 15'",Nov,n,M,Tiger,30.0
244,2012.11.04.a,2012,usa,43,"Tiger shark, 8'",Nov,n,M,Tiger,43.0
245,2012.10.30,2012,usa,25,White shark,Oct,n,M,White,25.0
246,2012.10.27,2012,usa,51,"Tiger shark, 10' to 12' ",Oct,n,F,Tiger,51.0
247,2012.10.23,2012,usa,39,"White shark, 15' to 16' ",Oct,y,M,White,39.0
248,2012.10.18.a,2012,usa,55,6' to 8' shark,Oct,n,M,Unspecified,55.0
249,2012.10.02,2012,australia,11,2m shark,Oct,n,M,Unspecified,11.0
250,2012.09.25,2012,usa,21,5' shark,Sep,n,M,Unspecified,21.0
251,2012.09.24,2012,usa,22,4' shark,Sep,n,M,Unspecified,22.0
252,2012.09.02.b,2012,usa,8,3.5' to 4' shark,Sep,n,F,Unspecified,8.0
253,2012.09.02.a,2012,usa,56,3.5' to 4' shark,Sep,n,F,Unspecified,56.0
254,2012.08.09,2012,usa,56,"Lemon shark, 4' to 5' ",Aug,n,M,Lemon,56.0
255,2012.07.31.a,2012,australia,48,White shark or bronze whaler,Jul,n,M,White,48.0
256,2012.07.30.a,2012,usa,50,Thought to involve a white shark,Jul,n,M,White,50.0
257,2012.07.14,2012,australia,24,"White shark, 5m",Jul,y,M,White,24.0
258,2012.07.07.a,2012,usa,52,14' to 18'shark,Jul,n,M,Unspecified,52.0
259,2012.07.06,2012,south africa,29,15' shark,Jul,n,M,Unspecified,29.0
260,2012.06.26.c,2012,usa,6,possibly a bull shark,Jun,n,M,Bull,6.0
261,2012.06.26.a,2012,usa,16,a small reef shark,Jun,n,F,Unspecified,16.0
262,2012.06.20,2012,australia,62,3 m shark,Jun,n,M,Unspecified,62.0
263,2012.06.15,2012,usa,23,Nurse shark,Jun,n,M,Unspecified,23.0
264,2012.06.14.d,2012,usa,18,small blacktip shark?,Jun,n,F,Unspecified,18.0
265,2012.06.14.a,2012,usa,16,Blacktip shark ,Jun,n,M,Unspecified,16.0
266,2012.06.12,2012,australia,42,1.5 m shark,Jun,n,M,Unspecified,42.0
267,2012.06.10,2012,italy,57,"Blue shark, 2.5m",Jun,,M,Unspecified,57.0
268,2012.06.03,2012,australia,30,"White shark, 2 m",Jun,n,M,White,30.0
269,2012.05.31,2012,usa,33,"18"" to 24"" shark",May,n,F,Unspecified,33.0
270,2012.05.29,2012,mexico,46,"Bull shark, 3m",May,n,M,Bull,46.0
271,2012.05.23,2012,usa,22,4' to 5' shark,May,n,M,Unspecified,22.0
272,2012.05.12,2012,usa,30,White shark,May,n,M,White,30.0
273,2012.05.06,2012,usa,15,White shark,May,n,F,White,15.0
274,2012.04.19.b,2012,usa,28,5' shark,Apr,n,M,Unspecified,28.0
275,2012.04.19.a,2012,south africa,20,"White shark, 4 m to 5m ",Apr,y,M,White,20.0
276,2012.04.03,2012,usa,28,"Tiger shark, 10'  ",Apr,n,M,Tiger,28.0
277,2012.03.31,2012,australia,33,"White shark, 4m ",Mar,y,M,White,33.0
278,2012.03.20,2012,australia,20,Possibly a bull shark,Mar,n,M,Bull,20.0
279,2012.03.15,2012,usa,61,Possibly a 5' to 6' bull shark,Mar,n,M,Bull,61.0
280,2012.03.14.b,2012,usa,15,4' to 5' shark,Mar,n,F,Unspecified,15.0
281,2012.03.14.a,2012,usa,17,4' to 5' shark,Mar,n,M,Unspecified,17.0
282,2012.03.06.a,2012,australia,34,"Tawny nurse shark, 40cm",Mar,n,F,Unspecified,34.0
283,2012.03.04,2012,usa,19,4' shark,Mar,n,M,Unspecified,19.0
284,2012.01.19,2012,australia,26,"Tiger shark, 3m",Jan,n,M,Tiger,26.0
285,2012.01.18.a,2012,australia,44,"White shark, 2.7 m",Jan,n,M,White,44.0
286,2012.01.15,2012,south africa,25,Thought to involve a bull shark,Jan,y,M,Bull,25.0
287,2012.01.03,2012,australia,28,2 m shark,Jan,n,M,Unspecified,28.0
288,2012.01.02,2012,australia,34,Allegedly a 4 m tiger shark,Jan,n,M,Tiger,34.0
289,2011.12.11,2011,australia,51,"White shark, 2.5m",Dec,n,M,White,51.0
290,2011.11.28,2011,australia,10,Wobbegong shark?,Nov,n,M,Unspecified,10.0
291,2011.10.22,2011,australia,32,"White shark, 10'",Oct,y,M,White,32.0
292,2011.10.19,2011,australia,50,"Port Jackson shark, 1m",Oct,n,M,Unspecified,50.0
293,2011.09.30,2011,usa,27,No shark involvement,Sep,,M,Unspecified,27.0
294,2011.09.28.a,2011,south africa,43,White shark,Sep,n,M,White,43.0
295,2011.09.24.b,2011,usa,21,"Bull shark, 6'",Sep,n,M,Bull,21.0
296,2011.09.16,2011,usa,25,4' to 6' shark,Sep,n,M,Unspecified,25.0
297,2011.09.11.a,2011,papua new guinea,30,"Tiger shark, 2m",Sep,n,M,Tiger,30.0
298,2011.09.04.a,2011,australia,21,White shark,Sep,y,M,White,21.0
299,2011.09.02,2011,usa,19,"6' shark, possibly a blactip or spinner shark",Sep,n,M,Unspecified,19.0
300,2011.08.31,2011,usa,19,6' shark,Aug,n,M,Unspecified,19.0
301,2011.08.28.b,2011,australia,48,Shark involvement prior to death not confirmed,Aug,,M,Unspecified,48.0
302,2011.08.23,2011,south africa,49,"White shark, >6'",Aug,y,M,White,49.0
303,2011.08.17.c.,2011,usa,20s,Possibly a 5' to 6' sandtiger shark,Aug,n,F,Tiger,20.0
304,2011.08.17.a,2011,russia,25,4 m shark,Aug,n,M,Unspecified,25.0
305,2011.08.16.c,2011,french polynesia,32,Grey reef shark ,Aug,n,M,Grey,32.0
306,2011.08.16.a,2011,seychelles,30,"Bull shark, 6'",Aug,y,M,Bull,30.0
