,year,age_limpio
1459,1935,38.0
1460,1935,27.0
1461,1935,22.0
1462,1934,13.0
1463,1934,15.0
1464,1934,17.0
1465,1934,22.0
1466,1932,24.0
1467,1932,23.0
1468,1931,39.0
1469,1931,18.0
1470,1930,18.0
1471,1930,23.0
1472,1929,19.0
1473,1929,39.0
1474,1929,14.0
1475,1928,17.0
1476,1928,15.0
1477,1928,18.0
1478,1927,17.0
1479,1927,17.0
1480,1927,15.0
1481,1926,17.0
1482,1926,20.0
1483,1926,15.0
1484,1925,55.0
1485,1925,16.0
1486,1924,16.0
1487,1922,19.0
1488,1922,19.0
1489,1922,18.0
1490,1922,21.0
1491,1922,18.0
1492,1919,13.0
1493,1916,24.0
1494,1912,21.0
1495,1906,30.0
